,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
DistalPhalanxTW,0.6762589812278748,0.7860520094562649,0.6473937034606934,0.7739952718676123,0.6423617005348206,0.7711583924349882,0.6297433376312256,0.7789598108747046,0.6458892226219177,0.7810874704491726,0.6409202218055725,0.7796690307328605,0.638776421546936
ECG200,0.8999999761581421,0.75,0.5398523211479187,0.7511111111111111,0.5547245144844055,0.75,0.5398523211479187,0.7555555555555555,0.559694766998291,0.75,0.5398523211479187,0.75,0.5398523211479187
ECG5000,0.9424444437026978,0.8677116837927967,0.8334382176399231,0.8869866599175724,0.8552648425102234,0.8617485677141419,0.8260418772697449,0.8790743787206886,0.8460037112236023,0.8649376968169705,0.8300948143005371,0.8647146489636469,0.829858124256134
ECGFiveDays,0.9291521310806274,0.9689754098360656,0.9681988954544068,0.9771516393442624,0.9765391945838928,0.9689754098360656,0.9681988954544068,0.9759221311475408,0.975239098072052,0.9689754098360656,0.9681988954544068,0.9689754098360656,0.9681988954544068
Earthquakes,0.5611510872840881,0.6172761664564943,0.3947192728519439,0.5096679277007147,0.0734503418207168,0.6172761664564943,0.3947192728519439,0.5651534258091636,0.2812261879444122,0.6172761664564943,0.3947192728519439,0.6172761664564943,0.3947192728519439
ElectricDevices,0.693035900592804,0.6988204358077255,0.3321953415870666,0.6458587893920651,0.2742649614810943,0.6932500651422123,0.3408921658992767,0.6724392627925392,0.3151769936084747,0.7031652790742975,0.3431197106838226,0.7005689191958289,0.3406161367893219
FaceAll,0.7988165616989136,0.6579651416122004,0.358549416065216,0.8480958605664488,0.7998407483100891,0.6999673202614379,0.4628176391124725,0.7857015250544662,0.6775001287460327,0.6788910675381263,0.4063019752502441,0.6801590413943356,0.407702773809433
FaceFour,0.9431818723678588,0.9397590361445785,0.9419280290603638,0.9734939759036144,0.980911374092102,0.9397590361445782,0.9430345892906188,0.9662650602409638,0.9720986485481262,0.9397590361445785,0.9419280290603638,0.9421686746987952,0.9451555013656616
FacesUCR,0.9219512343406676,0.925813492063492,0.9052587747573853,0.9325099206349206,0.9142917394638062,0.9322387566137568,0.9118287563323976,0.9331448412698412,0.9143326878547668,0.9299801587301588,0.9096535444259644,0.9319742063492064,0.9117482900619508
FiftyWords,0.7846153974533081,0.8887555022008804,0.8475249409675598,0.8738924141085005,0.8354042768478394,0.8844966558051792,0.8423411250114441,0.8877836849025326,0.8497395515441895,0.8942719945120905,0.854049563407898,0.8943005773738069,0.8538578152656555
Fish,0.9485714435577391,0.9350736278447124,0.9309187531471252,0.9658634538152612,0.9681618213653564,0.9390896921017404,0.9350186586380004,0.9585006693440428,0.9591503739356996,0.9384203480589024,0.9342098832130432,0.9390896921017404,0.9349011182785034
FordA,0.9424242377281188,0.9039283296666102,0.8786817193031311,0.887629040446776,0.8599564433097839,0.9039283296666102,0.8786817193031311,0.8960695549162294,0.8695859909057617,0.9039283296666102,0.8786817193031311,0.9039283296666102,0.8786817193031311
FordB,0.7925926446914673,0.7924640261088858,0.723985493183136,0.7846851357365376,0.7082686424255371,0.7924640261088858,0.723985493183136,0.790665331553182,0.7200071811676025,0.7924640261088858,0.723985493183136,0.7924640261088858,0.723985493183136
GunPoint,0.9866666793823242,0.9864864864864864,0.9929880499839784,0.9864864864864864,0.9894694685935974,0.9864864864864864,0.9929880499839784,0.9797297297297296,0.9823585152626038,0.9864864864864864,0.9929880499839784,0.9864864864864864,0.9929880499839784
Ham,0.8095238208770752,0.7000000000000002,0.4380167126655578,0.7070588235294116,0.4702882170677185,0.7000000000000002,0.4380167126655578,0.7158823529411765,0.4756118655204773,0.7000000000000002,0.4380167126655578,0.7000000000000002,0.4380167126655578
HandOutlines,0.9378378391265868,0.7920060142839243,0.6916288733482361,0.7813557198346073,0.6867033243179321,0.7920060142839243,0.6916288733482361,0.7905024433028442,0.7012214064598083,0.7920060142839243,0.6916288733482361,0.7920060142839243,0.6916288733482361
Haptics,0.5259740352630615,0.6372822594283782,0.2619130611419678,0.6200744123118552,0.2163567245006561,0.6481481481481483,0.2726729810237884,0.6351682732961272,0.2527286410331726,0.6412142736343649,0.2657404243946075,0.6448080500591916,0.2689055502414703
Herring,0.671875,0.6423034330011075,0.4338169395923614,0.6400885935769657,0.4335722029209137,0.6423034330011075,0.4338169395923614,0.64562569213732,0.4379556179046631,0.6423034330011075,0.4338169395923614,0.6423034330011075,0.4338169395923614
InlineSkate,0.3963636457920074,0.6879352271471206,0.4333024621009826,0.6643915109981209,0.4142743647098541,0.6783464131756384,0.4248062968254089,0.6711617110644412,0.4259871244430542,0.6873549242842931,0.4326519966125488,0.6859870675361999,0.4310691356658935
InsectWingbeatSound,0.6136363744735718,0.6943252911589877,0.4997047483921051,0.6892568385378843,0.4871210753917694,0.6973033163882837,0.5078721046447754,0.7082976949353129,0.5192521810531616,0.7001597676107479,0.5090141892433167,0.7002705828559133,0.5096179842948914
ItalyPowerDemand,0.9465500712394714,0.8748366623109951,0.8353405594825745,0.8786074295314542,0.8404181003570557,0.874836662310995,0.8353405594825745,0.8772633936904984,0.8387333750724792,0.8748273287287661,0.8352632522583008,0.8748273287287662,0.8352632522583008
