,accuracy,predictive_entropy_roc_auc,predictive_entropy,mutual_information_roc_auc,mutual_information,margin_roc_auc,margin,std_averaged_over_ensemble_roc_auc,std_averaged_over_ensemble,std_roc_auc,std,maxprob_roc_auc,maxprob
DistalPhalanxTW,0.6762589812278748,0.7836879432624113,0.5872288346290588,0.7848699763593381,0.594758927822113,0.7631205673758864,0.5625340342521667,0.7780141843971632,0.5790939331054688,0.7761229314420804,0.577544629573822,0.7728132387706856,0.5741263031959534
ECG200,0.8999999761581421,0.7311111111111112,0.5304280519485474,0.7355555555555555,0.5288558602333069,0.7311111111111112,0.5304280519485474,0.73,0.5310181379318237,0.7311111111111112,0.5304280519485474,0.7311111111111112,0.5304280519485474
ECG5000,0.9364444613456726,0.8703323254818272,0.8372950553894043,0.8810110155625106,0.8527247309684753,0.8646668945672268,0.8303758502006531,0.8745938446935125,0.8438569903373718,0.8676738543848178,0.8341583609580994,0.8674324014855576,0.833901584148407
ECGFiveDays,0.9581881165504456,0.9574410774410775,0.9556551575660706,0.9590235690235691,0.9575285315513611,0.9574410774410774,0.9556551575660706,0.9584175084175084,0.9567831158638,0.9574410774410774,0.9556551575660706,0.9574410774410774,0.9556551575660706
Earthquakes,0.5323740839958191,0.6135135135135136,0.4211719036102295,0.5848232848232848,0.3103874623775482,0.6135135135135136,0.4211719036102295,0.6114345114345114,0.3751114010810852,0.6135135135135136,0.4211719036102295,0.6135135135135136,0.4211719036102295
ElectricDevices,0.6984826922416687,0.6852219014649689,0.3128354549407959,0.6636089583108737,0.30454713106155396,0.6816765888464318,0.32489994168281555,0.6815532104340603,0.3268583416938782,0.6905585568319298,0.3259713053703308,0.6886094973427723,0.32409387826919556
FaceAll,0.7917159795761108,0.5289207942655252,-0.2100096493959427,0.6921265627123251,0.45054760575294495,0.5583575383883679,-0.09191804379224777,0.6236411197173529,0.1920100748538971,0.5421486445169179,-0.16503922641277313,0.543053149205055,-0.16409924626350403
FaceFour,0.9204545617103577,0.9206349206349207,0.9224779009819031,0.9541446208112875,0.9597199559211731,0.9206349206349206,0.9214617013931274,0.9488536155202822,0.9533443450927734,0.9171075837742504,0.9191156625747681,0.9171075837742504,0.9191156625747681
FacesUCR,0.9160975813865662,0.9116049978948412,0.8879747986793518,0.9187253882160636,0.8992292284965515,0.9164375758476361,0.893441915512085,0.918332218837457,0.8973399996757507,0.9153478465463011,0.8923336863517761,0.9168678950887883,0.8939420580863953
FiftyWords,0.7802197933197021,0.868394366197183,0.8212769627571106,0.8728169014084508,0.8365163207054138,0.8601971830985917,0.8145826458930969,0.8824507042253521,0.8447791934013367,0.8757464788732394,0.8307269811630249,0.8734084507042255,0.8277787566184998
Fish,0.9257142543792725,0.8542260208926876,0.8012977838516235,0.9154795821462488,0.9034983515739441,0.8613485280151946,0.8109042644500732,0.8964862298195632,0.8728992342948914,0.858974358974359,0.8075898885726929,0.8589743589743589,0.8078166246414185
