dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds,accuracy_mean_rep_ridge,accuracy_std_rep_ridge,accuracy_mean_rep_logreg,accuracy_std_rep_logreg,delta_mean
EthanolLevel,0.582,0.00816497,85.96,82.35,0.585,0.006648308055437871,,,-0.0030000000000000027
FreezerRegularTrain,0.99757895,0.0002589,6.37,93.86,0.9974385964912283,0.00016079212964761452,,,0.0001403535087716179
FreezerSmallTrain,0.95192982,0.00676141,1.78,81.25,0.951157894736842,0.002109936333806717,,,0.0007719252631580575
Fungi,1.0,0.0,1.49,4.23,1.0,0.0,,,0.0
GestureMidAirD1,0.80615385,0.00324336,36.1,2.73,0.8153846153846154,0.005958435917242159,,,-0.009230765384615425
GestureMidAirD2,0.68307692,0.00486504,43.07,2.55,0.7023076923076923,0.003525058226889146,,,-0.019230772307692323
GestureMidAirD3,0.57846154,0.00606777,40.94,2.52,0.5,0.01240347345892083,,,0.07846154000000005
GesturePebbleZ1,0.96627907,0.03486218,24.43,6.98,0.8534883720930232,0.008544731660871533,,,0.11279069790697682
GesturePebbleZ2,0.89113924,0.00833267,34.32,7.44,0.7955696202531646,0.007515406384201205,,,0.09556961974683542
GunPointAgeSpan,0.99683544,0.0,3.57,5.84,0.9968354430379748,1.1102230246251565e-16,,,-3.0379747606446017e-09
GunPointMaleVersusFemale,0.99778481,0.00152863,3.37,5.13,0.9974683544303797,0.0012658227848101333,,,0.00031645556962023313
GunPointOldVersusYoung,0.99047619,0.00334633,3.49,5.69,0.993015873015873,0.001904761904761898,,,-0.00253968301587304
HouseTwenty,0.96386555,0.00405921,8.46,22.64,0.9596638655462184,0.005042016806722694,,,0.004201684453781551
InsectEPGRegularTrain,0.99959839,0.00126999,4.81,16.06,1.0,0.0,,,-0.0004016100000000522
InsectEPGSmallTrain,0.9815261,0.00431714,2.03,14.69,0.9835341365461847,0.002811244979919679,,,-0.002008036546184755
MelbournePedestrian,0.90348503,0.00293248,12.35,9.77,0.9064860426929393,0.0020996242779219142,,,-0.0030010126929392866
MixedShapesRegularTrain,0.97043299,0.00091282,51.32,231.02,0.9712164948453609,0.0013775911825558704,,,-0.0007835048453608273
MixedShapesSmallTrain,0.93863918,0.00169245,10.94,231.58,0.9367835051546392,0.0015869592911252524,,,0.0018556748453608662
PLAID,0.88957169,0.00393076,153.68,18.24,0.8456238361266294,0.004032850619684871,,,0.043947853873370635
PickupGestureWiimoteZ,0.81,0.02160247,10.7,1.45,0.7,0.0,,,0.1100000000000001
PigAirwayPressure,0.08846154,0.00336157,20.69,38.93,0.44230769230769224,0.009852837274961149,,,-0.35384615230769223
PigArtPressure,0.95288462,0.00379236,21.02,39.22,0.9576923076923078,0.0019230769230769162,,,-0.004807687692307883
PigCVP,0.93269231,0.00392546,23.87,45.71,0.9442307692307692,0.0031890622984186425,,,-0.011538459230769238
PowerCons,0.93111111,0.00702728,3.99,2.7,0.9472222222222222,0.005692750425533107,,,-0.016111112222222168
Rock,0.898,0.00632456,6.34,13.73,0.9,0.0,,,-0.0020000000000000018
SemgHandGenderCh2,0.923,0.00581611,48.64,94.84,0.8985,0.006387922632245591,,,0.024500000000000077
SemgHandMovementCh2,0.64444444,0.00863845,67.39,63.63,0.6062222222222222,0.01123486636423515,,,0.03822221777777779
SemgHandSubjectCh2,0.88355556,0.00603601,65.53,62.78,0.8455555555555556,0.008027729719194862,,,0.0380000044444444
ShakeGestureWiimoteZ,0.892,0.01032796,10.86,1.16,0.8800000000000001,1.1102230246251565e-16,,,0.0119999999999999
SmoothSubspace,0.97933333,0.00210819,1.97,0.89,0.9793333333333333,0.0019999999999999797,,,-3.3333332760676626e-09
UMD,0.99236111,0.00219603,1.29,2.61,0.986111111111111,1.1102230246251565e-16,,,0.006249998888888997
